kw,kw2,kw3,n
2015 enso,2015 ens,,1
20th century wildfires,wildfire,s,1
28s ribosomal rna gene, rna gen,,1
2nd-order spatial analysis, analysi,s,397
3-4-year vole cycle,ole cycl,,2
3-carene,3-caren,,1
3-d accelerometers,erometer,s,1
3-d model,3-d mode,,1
3-glucanase,glucanas,,1
3-hydroxy-kynurenine,ynurenin,,1
3-pg,3-p,,1
3-trophic-level interactions,eraction,s,323
3d bite force model,rce mode,,6
3d geometric morphometrics,hometric,s,7
3d morphometrics,hometric,s,7
3d printing, printin,,2
3d territory mapping,y mappin,,1
4,,,16
4-allylanisole,ylanisol,,1
4-dapg,4-dap,,1
4-keto-carotenoid,arotenoi,,1
4-methyl-3-heptanol,-heptano,,1
4-methyl-3-heptanone,heptanon,,1
454 pyrosequencing,equencin,,25
454 pyrosequencing of its,ng of it,s,1
454 sequencing,equencin,,25
4th-corner method,er metho,,3
50-ha forest dynamics plot,mics plo,,12
50-ha plot,0-ha plo,,1
6-methoxybenzoxazolinone (6-mboa), (6-mboa,,1
a,,,16
a priori inference,inferenc,,17
a-barahonae,barahona,,1
a-ca curve,-ca curv,,1
a-ci curve,-ci curv,,1
a-coelestinus,elestinu,s,1
a-cybotes,a-cybote,s,1
a-distichus,distichu,s,3
a-ernestwilliamsi,williams,,2
a. tigrinum virus (atv),rus (atv,,1
a(0) and a(1) soil horizons, horizon,s,1
aardwolf,aardwol,,1
abacate river,ate rive,,1
abalone,abalon,,1
abandon-ship hypothesis,ypothesi,s,335
abandon-ship mechanism,mechanis,,24
abandoned agricultural lands,ral land,s,1
abandoned agriculture,ricultur,,23
abandoned cattle pastures, pasture,s,4
abandoned farmland, farmlan,,4
abandoned fields,ed field,s,2
abandoned pasture,d pastur,,3
abandonment,andonmen,,5
abbotsbury,bbotsbur,,1
abc,ab,,1
abdominal and sternopleural bristle number,le numbe,,6
abdominal pigmentation,mentatio,,58
abies alba,bies alb,,1
abies amabilis, amabili,s,2
abies balsamea, balsame,,1
abies balsarrea,balsarre,,1
abies concolor, concolo,,5
abies lasiocarpa,asiocarp,,1
abies magnifica,magnific,,1
abies pinsapo,s pinsap,,1
abies sachalinensis,alinensi,s,1
abies spp.,bies spp,,1
abiotic,abioti,,1
abiotic amelioration,lioratio,,6
abiotic and biotic factors,c factor,s,13
abiotic and biotic hazards,c hazard,s,1
abiotic and biotic regulation,egulatio,,60
abiotic change,ic chang,,6
abiotic clines,ic cline,s,4
abiotic conditions,ondition,s,33
abiotic constraints,nstraint,s,33
abiotic context,c contex,,1
abiotic decomposition,mpositio,,129
abiotic disturbance and lotic predator impacts,r impact,s,3
abiotic disturbance(s),rbance(s,,1
abiotic drivers,c driver,s,5
abiotic effects,c effect,s,42
abiotic environment,vironmen,,73
abiotic environmental conditions,ondition,s,33
abiotic factors,c factor,s,13
abiotic filtering,filterin,,13
abiotic filters,c filter,s,2
abiotic gradients,gradient,s,36
abiotic habitat,c habita,,4
abiotic n immobilization,ilizatio,,75
abiotic properties,ropertie,s,24
abiotic regeneration stage requirements,uirement,s,10
abiotic selection,selectio,,298
abiotic selective pressures,pressure,s,5
abiotic severity, severit,,8
abiotic stress,ic stres,s,6
abiotic stress amelioration,lioratio,,6
abiotic variation,variatio,,240
abiotic-biotic interaction,teractio,,133
abiotic-suitability hypothesis,ypothesi,s,335
abnormal abdomen,l abdome,,1
abnormal drought,l drough,,6
abomasal parasites,parasite,s,21
aboriginal landscape burning,e burnin,,1
abortion,abortio,,1
abouheif proximity,proximit,,3
abouheif test,heif tes,,1
above- and belowground herbivory,herbivor,,74
above ground,ve groun,,2
above ground biomass accumulation rate,tion rat,,57
above ground net primary productivity (anpp),ty (anpp,,1
above ground-below ground interactions,eraction,s,323
above- and below-ground biomass,d biomas,s,11
above- and belowground,lowgroun,,2
above- and belowground communities,mmunitie,s,153
above- and belowground herbivore interaction,teractio,,133
above- and belowground linkages, linkage,s,12
above- and belowground plant richness, richnes,s,85
above-below-ground trait covariation,variatio,,240
above-belowground linkages, linkage,s,12
above-ground and below-ground herbivore,herbivor,,74
above-ground biomass change,ss chang,,3
above-ground biomass spatial distribution,tributio,,232
above-ground carbon,nd carbo,,1
above-ground carbon capture,n captur,,3
above-ground competition cue,ition cu,,2
above-ground effects,d effect,s,18
above-ground interactions,eraction,s,323
above-ground npp,round np,,2
above-ground wood production,roductio,,212
above-ground-below-ground biomass,d biomas,s,11
above-ground-below-ground linkages, linkage,s,12
above&#8208,ove&#820,,1
aboveground and belowground interference,erferenc,,34
aboveground and belowground interrelationships,tionship,s,76
aboveground and belowground processes,processe,s,93
aboveground annual net primary productivity,ductivit,,69
aboveground biomass,d biomas,s,11
aboveground biomass dynamics, dynamic,s,330
aboveground biomass production,roductio,,212
aboveground consumers,consumer,s,10
aboveground herbivory,herbivor,,74
aboveground necromass,necromas,s,4
aboveground net primary production (anpp),on (anpp,,1
aboveground patch occupancy,occupanc,,17
aboveground primary production,roductio,,212
aboveground production,roductio,,212
aboveground productivity,ductivit,,69
aboveground ratio,und rati,,1
aboveground rooting,d rootin,,1
aboveground seed bank,seed ban,,5
aboveground tree live biomass,e biomas,s,7
aboveground-belowground,lowgroun,,2
aboveground-belowground interaction,teractio,,133
abrahamia thouvenotii,ouvenoti,,1
abramis brama,mis bram,,1
abrasion,abrasio,,1
abronia latifolia,latifoli,,12
abronia umbellata,umbellat,,4
abrostola asclepiadis,clepiadi,s,4
abrupt change,pt chang,,1
abrupt climate change,te chang,,15
abrupt ecological change,al chang,,27
abrupt environmental shift,tal shif,,2
abrupt growth release,h releas,,2
abrupt shifts,pt shift,s,1
abrupt transition,ransitio,,28
abruptness parameter,paramete,,5
abscisic acid,isic aci,,1
abscission,bscissio,,9
absconding,bscondin,,1
absence,absenc,,1
absolute and relative growth rates,wth rate,s,8
absolute constraint,onstrain,,30
absolute densities,densitie,s,9
absolute deviations,eviation,s,2
absolute growth rate,owth rat,,39
absolute mean fitness,n fitnes,s,13
absolute pollen analysis, analysi,s,397
absolute population density,n densit,,17
absorbance,bsorbanc,,2
absorbed photosynthetic active radiation,radiatio,,27
absorbed photosynthetically active radiation,radiatio,,27
absorptance,sorptanc,,2
absorptive root traits,ot trait,s,4
abundance,abundanc,,78
abundance and distribution of forbs, of forb,s,1
abundance and distribution patterns, pattern,s,106
abundance correlations,relation,s,36
abundance data,ance dat,,3
abundance distribution,tributio,,232
abundance dynamics, dynamic,s,330
abundance estimation,stimatio,,56
abundance fluctuations,ctuation,s,22
abundance frequency distribution,tributio,,232
abundance heterogeneity,rogeneit,,73
abundance index,nce inde,,8
abundance matrix,ce matri,,11
abundance modelling,modellin,,45
abundance of species,f specie,s,11
abundance-body mass relationships,tionship,s,76
abundance-mass scaling,s scalin,,2
abundance-occupancy,occupanc,,17
abundance-occupancy relationship,ationshi,,86
abundance-weighting,weightin,,3
abundance/biomass curves,ss curve,s,1
abundance&#8211,nce&#821,,2
abundant center,nt cente,,1
abundant center model,ter mode,,5
abundant centre distribution,tributio,,232
abundant centre hypothesis,ypothesi,s,335
aburria cujubi,ia cujub,,1
abutilon,abutilo,,1
abutilon theophrasti,eophrast,,1
acacia,acaci,,1
acacia (vachellia) drepanolobium,anolobiu,,2
acacia acuminata,acuminat,,5
acacia albida,ia albid,,1
acacia ants,acia ant,s,1
acacia caffra,ia caffr,,1
acacia collinsii,collinsi,,2
acacia constricta,onstrict,,3
acacia dealbata, dealbat,,1
acacia drepanolobium,anolobiu,,2
acacia drepanolobium savanna,m savann,,1
acacia hindsii,a hindsi,,1
acacia karroo,ia karro,,2
acacia koa,cacia ko,,1
acacia ligulata, ligulat,,1
acacia longifolia,ongifoli,,2
acacia mangium,a mangiu,,1
acacia mellifera,mellifer,,3
acacia nigrescens,igrescen,s,4
acacia nilotica, nilotic,,2
acacia pycnantha,pycnanth,,1
acacia robusta,a robust,,4
acacia saligna,a salign,,1
acacia seeds,cia seed,s,1
acacia senegal,a senega,,1
acacia seyal,cia seya,,1
acacia species,a specie,s,4
acacia tortilis, tortili,s,1
acacia-commiphora,ommiphor,,1
acacia-commiphora bushland, bushlan,,1
acacia-pseudomyrmex,udomyrme,,2
acacia-rhizobia mutualism,mutualis,,62
acalymma vitattum, vitattu,,1
acalypha communis, communi,s,3
acanthaceae,anthacea,,2
acanthaceae conservation,servatio,,81
acanthagenys rufogularis,fogulari,s,1
acanthemblemaria,mblemari,,1
acanthina angelica, angelic,,1
acanthocephalus-dirus,lus-diru,s,1
acanthocyclops vernalis, vernali,s,1
acanthodactylus erythrurus,rythruru,s,1
acanthomyops,nthomyop,s,1
acanthoscelides obtectus, obtectu,s,1
acanthoscelides obvelatus,obvelatu,s,1
acanthuridae,nthurida,,1
acanthuroid fishes,id fishe,s,2
acanthus pubescens,pubescen,s,11
acari,acar,,1
acaridae,acarida,,1
acarina,acarin,,1
acartia tonsa,tia tons,,1
acc deaminase,deaminas,,1
accase,accas,,1
accelerated growth,ed growt,,7
accelerated thawing,d thawin,,1
acceleration,eleratio,,4
acceleration telemetry,telemetr,,22
accelerometer,leromete,,1
accelerometry,lerometr,,1
acceptance,cceptanc,,4
acceptance threshold model,old mode,,6
accepters,accepter,s,1
access,acces,s,1
accessible edge,ible edg,,1
accession to reproduction,roductio,,212
accessory costs,ory cost,s,3
accessory gland,ory glan,,1
accessory gland products, product,s,8
accessory gland proteins, protein,s,8
accidental epiphyte, epiphyt,,3
accipiter,accipite,,1
accipiter gentilis, gentili,s,2
accipiter melanoleucus,anoleucu,s,1
accipiter nisus,ter nisu,s,1
accipiter-cooperii,-cooperi,,1
accipitridae,ipitrida,,1
acclimation,climatio,,10
acclimatization,atizatio,,5
accretion,accretio,,9
accumulation and release,d releas,,3
accumulation curves,on curve,s,2
accumulation mechanisms,echanism,s,44
accumulation of local pathogens,pathogen,s,23
accuracy,accurac,,1
ace,ac,,1
acentria ephemerella,hemerell,,2
acentrogobius pflaumii, pflaumi,,1
acer,ace,,1
acer japonicum,japonicu,,3
acer negundo,r negund,,1
acer opalus,er opalu,s,1
acer pensylvanicum,ylvanicu,,4
acer platanoides,atanoide,s,1
acer rubrum,er rubru,,1
acer saccharum,saccharu,,1
acer saccharuni,accharun,,1
aceria parapopuli,arapopul,,1
aceros nipalensis,ipalensi,s,2
aceros undulatus,undulatu,s,4
acetate flagellate,lagellat,,3
acetic acid tolerance,toleranc,,58
acetylcholinesterase,nesteras,,2
acetylene reduction,reductio,,33
acetylene reduction activity, activit,,57
acetylene reduction assay,ion assa,,4
acharia stimulea, stimule,,1
achatinella lila,ella lil,,1
achatinella sowerbyana,owerbyan,,1
achatinid,achatini,,1
achene,achen,,1
achilidae,achilida,,2
achillea,achille,,1
achnatherum,hnatheru,,1
achroia grisella, grisell,,1
achyra rantalis, rantali,s,1
acid deposition,epositio,,25
acid fuchsin dye,chsin dy,,1
acid humus,cid humu,s,1
acid lakes,cid lake,s,1
acid neutralizing capacity, capacit,,33
acid phosphatase activity, activit,,57
acid precipitation,ipitatio,,9
acid rain,acid rai,,1
acid resistance,esistanc,,97
acid soil,acid soi,,1
acid spruce soil,ruce soi,,1
acid stress,id stres,s,1
acid tolerance,toleranc,,58
acid-base regulation,egulatio,,60
acidification,ificatio,,174
acidity,acidit,,1
acido jasmonico,jasmonic,,1
acidobacteria,obacteri,,7
acidosis,acidosi,s,1
acids,acid,s,1
aciniform silk,form sil,,1
acinonyx jubatus,x jubatu,s,1
acipenser,acipense,,1
aclame,aclam,,1
acmispon,acmispo,,1
acmispon wrangelianus,ngelianu,s,2
acomastylis rossii,is rossi,,1
acomys,acomy,s,1
acomys cahirinus,cahirinu,s,1
acomys russatus, russatu,s,1
aconitum columbianum,lumbianu,,3
aconitum noveboracense,boracens,,1
aconphora-teligera,-teliger,,1
acoraceae,acoracea,,1
acorn,acor,,1
acorn barnacles,barnacle,s,3
acorn density,n densit,,17
acorn production,roductio,,212
acorn woodpecker,oodpecke,,6
acorns,acorn,s,1
acosmium cardenasii,ardenasi,,1
acoustic adaptation,daptatio,,86
acoustic adaptation hypothesis,ypothesi,s,335
acoustic aposematism,osematis,,4
acoustic behavior, behavio,,157
acoustic census methods,s method,s,4
acoustic coding,ic codin,,1
acoustic communication,unicatio,,24
acoustic convergence,nvergenc,,15
acoustic cues,stic cue,s,1
acoustic heterogeneity,rogeneit,,73
acoustic identification,ificatio,,174
acoustic monitoring,onitorin,,37
acoustic niche,tic nich,,5
acoustic sexual signals,l signal,s,6
acoustic signaling,signalin,,19
acoustic signals,c signal,s,4
acoustic space use,space us,,4
acoustic telemetry,telemetr,,22
acoustic tracking, trackin,,23
acoustical masking,l maskin,,1
acoustics,acoustic,s,5
acps,acp,s,1
acquiescence,uiescenc,,1
acquired immunity, immunit,,23
acquisition,quisitio,,12
acquisition bias,tion bia,s,8
acquisition-allocation theory,on theor,,29
acquisition-conservation trade-off,trade-of,,73
acquisitive strategy, strateg,,107
acquisitive traits,ve trait,s,14
acquisitive-conservative trade-off,trade-of,,73
acraea encedon,a encedo,,1
acre,acr,,1
acrididae,acridida,,1
acridivorous birds,ous bird,s,5
acridotheres,idothere,s,1
acridotheres javanicus,javanicu,s,3
acridotheres tristis,s tristi,s,2
acrisol,acriso,,1
acrobasis consociella,nsociell,,1
acrocephalus arundinaceus,ndinaceu,s,4
acrocephalus scirpaceus,cirpaceu,s,1
acrocephalus sechellensis,hellensi,s,1
acrocephalus warblers, warbler,s,5
acrochordid,rochordi,,1
acrochordus-arafurae,-arafura,,1
acrocomia,acrocomi,,1
acromyrmex,cromyrme,,1
acromyrmex echinatior,chinatio,,1
acromyrmex lobicornis,obicorni,s,1
acromyrmex lundi,mex lund,,1
acropetal bud development,velopmen,,95
acropora,acropor,,1
acropora elseyi,ra elsey,,1
acropora millepora,millepor,,2
acropora nasuta,ra nasut,,1
acropora retusa,ra retus,,1
acropora spp.,pora spp,,1
acrosome reaction, reactio,,6
across and within species richness levels,ss level,s,1
across-environment additive genetic correlation,rrelatio,,58
acrotelm-catotelm model,elm mode,,1
act primary productivity,ductivit,,69
actaea racemosa, racemos,,8
actaea spicata,a spicat,,3
actinidiaceae,nidiacea,,1
actinocyclus normanii, normani,,1
actinomycetales,mycetale,s,1
actinopterygii,opterygi,,3
actinorhizal n fixation, fixatio,,23
actinosphaerium nucleofilum,cleofilu,,1
action,actio,,1
action points,on point,s,1
activated carbon,ed carbo,,3
activation energy,on energ,,1
active,activ,,1
active adaptive management,anagemen,,79
active dispersal,dispersa,,174
active flight,ve fligh,,1
active foragers, forager,s,4
active heating,e heatin,,1
active interference,erferenc,,34
active layer,ive laye,,1
active layer thickness,thicknes,s,9
active pasture,e pastur,,2
active pollination,llinatio,,55
active restoration,storatio,,38
active searching transects,transect,s,6
active time,tive tim,,1
active vs. sit-and-wait predators,predator,s,32
activity,activit,,1
activity budget,ty budge,,3
activity budget hypothesis,ypothesi,s,335
activity concentration,entratio,,35
activity costs,ity cost,s,4
activity cycles,ty cycle,s,1
activity data-loggers,a-logger,s,1
activity density,y densit,,7
activity level,ity leve,,2
activity overlap,y overla,,4
activity patterns, pattern,s,106
activity period,ty perio,,2
activity pulse,ity puls,,1
activity restrictions,triction,s,3
activity rhythm,ty rhyth,,1
activity time,vity tim,,1
activity trade-off,trade-of,,73
activity-exploration,ploratio,,3
actor-critic learning, learnin,,25
actuarial,actuaria,,1
actuarial senescence,enescenc,,19
acuminate tips,nate tip,s,1
acute infection,infectio,,37
acute phase response, respons,,110
acute stress,te stres,s,1
acute toxicity, toxicit,,8
acutisoma,acutisom,,1
acyl sugars,yl sugar,s,1
acyrthosiphon pisum,hon pisu,,1
acyrthosiphum pisum,hum pisu,,1
adalia bipunctata,ipunctat,,1
adansonia,adansoni,,1
adaptability,ptabilit,,1
adaptations and trade-offs,rade-off,s,38
adaptation by time,n by tim,,1
adaptation genetics, genetic,s,39
adaptation rate,tion rat,,57
adaptation speed,ion spee,,6
adaptation strategies,trategie,s,83
adaptation to changing environments,ironment,s,22
adaptation to environmental change,al chang,,27
adaptation to flooding, floodin,,5
adaptation vs. constraint,onstrain,,30
"adaptation, clutch size",utch siz,,7
adaptation(s),tation(s,,2
adaptationism,tationis,,1
adaption,adaptio,,1
adaptive,adaptiv,,1
adaptive acclimation,climatio,,10
adaptive accuracy, accurac,,4
adaptive behavior(s),havior(s,,6
adaptive canalization,alizatio,,101
adaptive capacity, capacit,,33
adaptive caste demography,emograph,,56
adaptive changes,e change,s,1
adaptive choice,ve choic,,1
adaptive cluster sampling, samplin,,49
adaptive coloration,oloratio,,35
adaptive constraints,nstraint,s,33
adaptive convergence,nvergenc,,15
adaptive crossover,crossove,,3
adaptive death,ive deat,,1
adaptive decoupling,ecouplin,,4
adaptive deme formation,formatio,,69
adaptive developmental plasticity,lasticit,,75
adaptive differentiation,entiatio,,40
adaptive dispersal,dispersa,,174
adaptive distance, distanc,,62
adaptive divergence,ivergenc,,55
adaptive diversification,ificatio,,174
adaptive diversity,diversit,,255
adaptive drift,ive drif,,1
adaptive dynamics, dynamic,s,330
adaptive eco-evolutionary dynamics, dynamic,s,330
adaptive evolution,evolutio,,298
adaptive fat regulation,egulatio,,60
adaptive fitness surface,s surfac,,3
adaptive flexibility,exibilit,,11
adaptive foraging, foragin,,49
adaptive function, functio,,101
adaptive gene loss,gene los,s,3
adaptive genetic variation,variatio,,240
adaptive habitat selection,selectio,,298
adaptive habitat use,bitat us,,7
adaptive history,e histor,,33
adaptive host invasion, invasio,,38
adaptive host manipulation hypothesis,ypothesi,s,335
adaptive hybridization,idizatio,,26
adaptive hypopus dimorphism,imorphis,,29
adaptive hypotheses,ypothese,s,13
adaptive immunity, immunit,,23
adaptive introgression,ogressio,,20
adaptive landscape,landscap,,42
adaptive management,anagemen,,79
adaptive manipulation,ipulatio,,47
adaptive maternal strategy, strateg,,107
adaptive models,ve model,s,7
adaptive morphological variation,variatio,,240
adaptive morphology,orpholog,,74
adaptive movement, movemen,,46
adaptive oviposition behavior, behavio,,157
adaptive peak shift,eak shif,,2
adaptive phenotypic plasticity,lasticit,,75
adaptive plasticity,lasticit,,75
adaptive polymorphism,ymorphis,,73
adaptive potential,potentia,,41
adaptive radiation,radiatio,,27
adaptive resemblance,semblanc,,2
adaptive resilience,esilienc,,18
adaptive response, respons,,110
adaptive ridge,ive ridg,,1
adaptive role,tive rol,,1
adaptive sampling, samplin,,49
adaptive seasonality,asonalit,,18
adaptive sex ratio variation,variatio,,240
adaptive shift,ive shif,,1
adaptive significance,nificanc,,5
adaptive speciation,peciatio,,53
adaptive splitting,splittin,,3
adaptive strategies,trategie,s,83
adaptive strategy, strateg,,107
adaptive stress,ve stres,s,5
adaptive suite,ive suit,,1
adaptive surface,e surfac,,5
adaptive syndromes,syndrome,s,14
adaptive topography,opograph,,5
adaptive trade-offs,rade-off,s,38
adaptive trait introgression,ogressio,,20
adaptive traits,ve trait,s,14
adaptive valley,ve valle,,1
adaptive variation,variatio,,240
adaptive walk,tive wal,,1
adaptive zone,tive zon,,1
adaptive&#8208,ive&#820,,1
adder,adde,,1
adders,adder,s,1
addition experiments,periment,s,55
addition series,on serie,s,2
additional competition,mpetitio,,174
additive,additiv,,1
additive design,ve desig,,6
additive diversity components,omponent,s,23
additive diversity partitioning,titionin,,53
additive effects,e effect,s,64
additive experiments,periment,s,55
additive genetic benefit,c benefi,,3
additive genetic covariance matrix,ce matri,,11
additive genetic effects,c effect,s,42
additive genetic variance, varianc,,56
additive genetic variation,variatio,,240
additive inherence,inherenc,,1
additive logistic regression,egressio,,92
additive models,ve model,s,7
additive mortality,mortalit,,122
additive partitioning,titionin,,53
additive partitioning of beta diversity,diversit,,255
additive partitioning of biodiversity effects,y effect,s,26
additive partitioning of diversity,diversit,,255
additive poisson autoregression,egressio,,92
additive predation,predatio,,109
additive series,ve serie,s,1
additive variance, varianc,,56
additive variation,variatio,,240
additivity,dditivit,,2
addo elephant national park,onal par,,79
ade-4,ade-,,1
adehabitat,dehabita,,1
adelges abietis,s abieti,s,2
adelges tsugae,es tsuga,,1
adelie penguin,e pengui,,2
adelie penguin (pygoscelis adeliae), adeliae,,1
adelpha,adelph,,1
adelphophagy,lphophag,,1
adenia,adeni,,1
adenocaulon-bicolor,n-bicolo,,1
adenophora grandiflora,andiflor,,6
adenostoma,denostom,,1
adenostoma fasciculatum,ciculatu,,4
adh,ad,,1
adh polymorphism,ymorphis,,73
adhesive dispersal,dispersa,,174
adiantum,adiantu,,1
adinandra-belukar,a-beluka,,1
adipose tissue,se tissu,,1
adirondack lakes,ack lake,s,1
adirondack mountains,mountain,s,36
"adirondacks, new york, usa","york, us",,4
adjoint matrix,nt matri,,1
adjusted coefficient of determination,rminatio,,37
adjusted means,ted mean,s,1
adjusted r-2,usted r-,,1
adjusted sums of squares,f square,s,3
adjustment stability,stabilit,,59
admixture,admixtur,,1
adn del cloroplasto,oroplast,,1
adoption,adoptio,,1
adoxa,adox,,1
adoxophyes honmai,es honma,,1
adsorption,dsorptio,,3
adsorption rate,tion rat,,57
adult,adul,,1
adult dormancy, dormanc,,17
adult emergence vs temperature,mperatur,,65
adult fitness,t fitnes,s,12
adult foraging, foragin,,49
adult mass,dult mas,s,1
adult mortality,mortalit,,122
adult parasitism,arasitis,,49
adult plant abundance,abundanc,,78
adult plant dormancy, dormanc,,17
adult population sex ratio,sex rati,,20
adult predation,predatio,,109
adult progeny,t progen,,1
adult recruitment,cruitmen,,41
adult sex ratio,sex rati,,20
adult size,dult siz,,1
adult stature,t statur,,3
adult survival, surviva,,85
adult survival analysis, analysi,s,397
adult survival rate,ival rat,,3
adult tree stature,e statur,,1
adult trees,ult tree,s,1
adult vegetative dormancy, dormanc,,17
adult-juvenile interactions,eraction,s,323
adults,adult,s,1
advance recruits, recruit,s,1
advance regeneration,eneratio,,39
advanced snowmelt, snowmel,,2
advanced very high resolution radiometer (avhrr),r (avhrr,,1
advancing front,ing fron,,2
advection,advectio,,2
advection model,ion mode,,86
advection on nonlocal information,formatio,,69
advection-diffusion,diffusio,,12
advection-diffusion equation, equatio,,31
advection-diffusion models,on model,s,35
adventitioits roots,its root,s,1
adventitious root climber,t climbe,,1
adventitious roots,ous root,s,1
advergence,dvergenc,,1
advergent evolution,evolutio,,298
adverse environmental conditions,ondition,s,33
adversity,adversit,,2
advertisement call,ment cal,,1
advertisement-call structure,structur,,198
aechmea,aechme,,1
aechmea magdalenae,agdalena,,1
aechmea mertensii,mertensi,,2
aechmea pectinata,pectinat,,5
aecidium faramea,m farame,,1
aedeagus,aedeagu,s,1
aedes,aede,s,1
aedes aegypti,s aegypt,,1
aedes albopictus,lbopictu,s,1
aedes japonicus,japonicu,s,3
aedes sierrensis,ierrensi,s,1
aedes sollicitans,llicitan,s,1
aedes triseriatus,iseriatu,s,2
aegean islands,n island,s,12
aegean sea,egean se,,1
aegiceras corniculatum,niculatu,,3
aegiceras corniculatum (l) blanco,l) blanc,,1
aegilops triuncialis,iunciali,s,1
aegithalos caudatus, caudatu,s,3
aegolius funereus, funereu,s,1
aegypius monachus, monachu,s,1
aenictinae,enictina,,1
aenictus,aenictu,s,1
aeolian processes,processe,s,93
aepyceros melampus, melampu,s,1
aerenchyma,erenchym,,1
aerial detection survey data,rvey dat,,3
aerial exposure, exposur,,9
aerial foraging, foragin,,49
aerial habitat,l habita,,8
aerial insectivores,ectivore,s,2
aerial inventory,inventor,,7
aerial nodules,l nodule,s,1
aerial photographic interpretation,pretatio,,2
aerial photographs,otograph,s,10
aerial pollution,pollutio,,18
aerial predator, predato,,28
aerial roots,ial root,s,1
aerial seeding,l seedin,,1
aerial stereo photographs,otograph,s,10
aerial stereoparis,ereopari,s,1
aerial survey,al surve,,7
aerial temperature,mperatur,,65
aerobic capacity, capacit,,33
aerobic dive limit,ive limi,,1
aerobic diving limit,ing limi,,1
aerobic energy metabolism,etabolis,,31
aerobic model,bic mode,,1
aerobic scope,bic scop,,1
aerodramus fuciphagus,uciphagu,s,1
aerodramus-sawtelli,-sawtell,,1
aerodynamic efficiency,fficienc,,85
aerodynamic power requirements,uirement,s,10
aerodynamics,odynamic,s,5
aerosol,aeroso,,1
aerva javanica, javanic,,2
aesculus turbinata,turbinat,,2
aeshna,aeshn,,1
aesperm,aesper,,1
aesthetic mate preferences,eference,s,14
aestivation,stivatio,,1
aet,ae,,1
aethia-pusilla,a-pusill,,1
aethopyga christinae,hristina,,2
aextoxicon punctatum,punctatu,,4
affected by multiple plant traits,nt trait,s,4
affinity analysis, analysi,s,397
affinity effects,y effect,s,26
afforestation,restatio,,6
aflp,afl,,1
aflp analysis, analysi,s,397
aflp markers,p marker,s,1
aflps,aflp,s,1
africa,afric,,1
"africa, bat reproduction",roductio,,212
african acacia,an acaci,,1
african buffalo,n buffal,,1
african carnivore guild,ore guil,,2
african carnivores,arnivore,s,6
african cichlids, cichlid,s,1
african clawed frog,awed fro,,1
african elephant, elephan,,5
african elephant loxodanta africana, african,,4
african evolution,evolutio,,298
african forest,an fores,,8
african grasses,n grasse,s,2
african green monkey,en monke,,1
african herbivores,erbivore,s,33
african honey bee,honey be,,5
african large herbivores,erbivore,s,33
african lion,ican lio,,1
african mahogany, mahogan,,2
african migratory locust,ry locus,,1
african mountains,mountain,s,36
african palm,ican pal,,1
african pygmies,n pygmie,s,1
african rain forest,in fores,,48
african savanna,n savann,,5
african savanna elephant, elephan,,5
african semi-arid grazing system,ng syste,,22
african semi-deciduous rain forest,in fores,,48
african swine fever,ine feve,,2
african tropical forest,al fores,,41
african tropical trees,cal tree,s,5
african trypanosome,ypanosom,,1
african ungulates,ungulate,s,7
